"code";"diagosis"
"2.10.1.8.4";"Spina bifida or meningomyelocele (Nonsurgical)"
"2.10.1.15.1";"Haemorrhage from or haematoma of vertebral column (Nonsurgical)"
"2.10.1.27.1";"Discitis (Nonsurgical)"
"2.10.1.27.2";"Osteomyelitis or vertebral abscess (Nonsurgical)"
"2.10.1.38.1";"Cervical spine fracture or ligamentous injury (Nonsurgical)"
"2.10.1.38.2";"Thoracic spine fracture or ligamentous injury (Nonsurgical)"
"2.10.1.38.3";"Lumbar spine fracture or ligamentous injury (Nonsurgical)"
"2.10.1.39.1";"Primary tumour in vertebral column (Nonsurgical)"
"2.10.1.39.2";"Secondary tumour in vertebral column (Nonsurgical)"
"2.10.2.8.1";"Rheumatoid or osteoarthritis (Nonsurgical)"
"2.10.2.15.1";"Haemorrhage from or haematoma of pelvis, long bones or joints (Nonsurgical)"
"2.10.2.27.1";"Osteomyelitis (Nonsurgical)"
"2.10.2.27.2";"Infective arthritis (Nonsurgical)"
"2.10.2.27.3";"Pelvic infection or abscess (Nonsurgical)"
"2.10.2.38.1";"Pelvic fracture (Nonsurgical)"
"2.10.2.38.2";"Single long bone fracture (Nonsurgical)"
"2.10.2.38.3";"Multiple long bone fractures (Nonsurgical)"
"2.10.2.38.4";"Non-accidental injury to pelvis, long bones or joints (Nonsurgical)"
"2.10.2.39.1";"Primary tumour of bone (Nonsurgical)"
"2.10.2.39.2";"Secondary tumour of bone (Nonsurgical)"
"2.10.3.8.1";"Congenital muscular dystrophy (Nonsurgical)"
"2.10.3.8.2";"Pseudocholinesterase deficiency (Nonsurgical)"
"2.10.3.8.3";"Myasthenia gravis (Nonsurgical)"
"2.10.3.9.1";"Degenerative myopathy (Nonsurgical)"
"2.10.3.15.1";"Haemorrhage from or haematoma of muscle or connective tissue (Nonsurgical)"
"2.10.3.15.2";"Compartment syndrome (Nonsurgical)"
"2.10.3.27.1";"Myositis (Nonsurgical)"
"2.10.3.27.2";"Necrotising fasciitis (Nonsurgical)"
"2.10.3.27.3";"Infective arthritis (Nonsurgical)"
"2.10.3.27.4";"Rhabdomyolysis (Nonsurgical)"
"2.10.3.27.5";"Abscess of muscle or connective tissue (Nonsurgical)"
"2.10.3.27.6";"Fournier's gangrene of perineal tissues (Nonsurgical)"
"2.10.3.28.1";"Polymyositis (Nonsurgical)"
"2.10.3.28.2";"Systemic lupus erythromatosis (Nonsurgical)"
"2.10.3.28.3";"Rhabdomyolysis (Nonsurgical)"
"2.10.3.28.4";"Myasthenia gravis (Nonsurgical)"
"2.10.3.28.5";"Rheumatoid arthritis (Nonsurgical)"
"2.10.3.28.6";"Systemic sclerosis (Nonsurgical)"
"2.10.3.28.7";"Vasculitis not defined (Nonsurgical)"
"2.10.3.38.1";"Crush injury (Nonsurgical)"
"2.10.3.38.2";"Compartment syndrome (Nonsurgical)"
"2.10.3.38.3";"Non-accidental injury to muscles or connective tissue (Nonsurgical)"
"2.10.3.38.4";"Amputation of limb (Nonsurgical)"
"2.10.3.39.1";"Primary or secondary tumour of muscle or connective tissue (Nonsurgical)"
"2.10.3.41.1";"Rhabdomyolysis (Nonsurgical)"
"2.10.3.41.2";"Compartment syndrome (Nonsurgical)"
"2.11.1.5.1";"Burns caused by dry heat (Nonsurgical)"
"2.11.1.5.2";"Steam burns or scalds (Nonsurgical)"
"2.11.1.5.3";"Electrical burns (Nonsurgical)"
"2.11.1.5.4";"Chemical burns (Nonsurgical)"
"2.11.1.27.1";"Cutaneous cellulitis (Nonsurgical)"
"2.11.1.27.2";"Toxic epidermal necrolysis (Nonsurgical)"
"2.11.1.27.3";"Necrotising fasciitis (Nonsurgical)"
"2.11.1.27.4";"Orbital cellulitis (Nonsurgical)"
"2.11.1.27.5";"Fournier's gangrene of perineal tissues (Nonsurgical)"
"2.11.1.27.6";"Leprosy (Nonsurgical)"
"2.11.1.28.1";"Exfoliative dermatitis (Nonsurgical)"
"2.11.1.28.2";"Pemphigus vulgaris (Nonsurgical)"
"2.11.1.28.3";"Psoriasis and pustular psoriasis (Nonsurgical)"
"2.11.1.28.4";"Toxic epidermal necrolysis (Nonsurgical)"
"2.11.1.28.5";"Erythema multiforme (Nonsurgical)"
"2.11.1.28.6";"Stevens-Johnson syndrome (Nonsurgical)"
"2.11.1.28.7";"Scleroderma (Nonsurgical)"
"2.11.1.38.1";"Degloving injury (Nonsurgical)"
"2.11.1.38.2";"Non-accidental injury to skin (Nonsurgical)"
"2.11.1.39.1";"Cutaneous melanoma (Nonsurgical)"
"2.11.1.39.2";"Basal cell carcinoma of skin (Nonsurgical)"
"2.11.1.39.3";"Carcinoma of breast (Nonsurgical)"
"2.12.1.48.1";"Alcohol dependence (Nonsurgical)"
"2.12.1.48.2";"Drug dependence (Nonsurgical)"
"2.12.1.48.3";"Delerium tremens (Nonsurgical)"
"2.12.1.49.1";"Depression (Nonsurgical)"
"2.12.1.49.2";"Mania or manic depression (Nonsurgical)"
"2.12.1.50.1";"Neurosis disorder (Nonsurgical)"
"2.12.1.50.2";"Personality disorder (Nonsurgical)"
"2.12.1.51.1";"Schizophrenia (Nonsurgical)"
"2.12.1.52.1";"Congenital mental handicap (Nonsurgical)"
